source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,elevation,slope,aspect,soil_id,landcover_class,all_features_available
,,,,,,,,,,,,,,,,,,,,,,,,,93.58,24.17,LandslideGuard_Project_Master,,,,24.17,93.58,24.17,93.58,True,24.17,93.58,,IND-INV-028343,INVENTORY,,,unknown,Manipur,Churachandpur,,,Anthropogenic,Debris,Slide,Active,204.0,,Geological Survey of India (GSI) inventory,MN/CCP/83H12/2020/35,,GSI:27846,1.0,GSI,False,SOURCE,HIGH,24.170_93.580,,False,,OBJECTID=27846,949.8865,15.069934,301.53647,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,92.859192,23.315806,LandslideGuard_Project_Master,,,,23.315806,92.859192,23.315806,92.859192,True,23.316,92.859,,IND-INV-029238,INVENTORY,2014.0,,year,Mizoram,Serchhip,,2014.0,Rainfall,Debris,Slide,Active,300.0,,Geological Survey of India (GSI) inventory,MZ/SER/84A15/2016/43,,GSI:11102,1.0,GSI,False,SOURCE,HIGH,23.316_92.859,,False,,OBJECTID=11102,1059.9445,10.434833,29.269482,4301,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,92.79944,22.84553,LandslideGuard_Project_Master,,,,22.84553,92.79944,22.84553,92.79944,True,22.846,92.799,,IND-INV-030011,INVENTORY,,,unknown,Mizoram,Lunglei,Lunglei-12 slide,,,Rock,Fall,,0.0,,Geological Survey of India (GSI) inventory,MIZO/LUN/84B13/2005/E-25,,GSI:363,1.0,GSI,False,SOURCE,HIGH,22.846_92.799,,False,,OBJECTID=363,1302.6675,17.974838,205.92303,3665,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,95.792489,28.217543,LandslideGuard_Project_Master,,,,28.217543,95.792489,28.217543,95.792489,True,28.218,95.792,,IND-INV-023237,INVENTORY,,,unknown,Arunachal Pradesh,Lower Dibang Valley,From Roing 19.87 kms along NH-313 towards Hunli,,Rainfall,Debris,Slide,Active,18.0,NIL,Geological Survey of India (GSI) inventory,AP/LDV/82P16/2022/59,,GSI:30346,1.0,GSI,False,SOURCE,HIGH,28.218_95.792,,False,,OBJECTID=30346,956.47546,35.46529,185.2378,3637,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.848,25.598,LandslideGuard_Project_Master,,,,25.598,93.848,25.598,93.848,True,25.598,93.848,,IND-INV-025041,INVENTORY,2013.0,,year,Nagaland,Peren,,2013.0,Rainfall,Rock,Slide,Suspended,3225.0,,Geological Survey of India (GSI) inventory,NG/PER/83G14/2015/18,,GSI:8606,1.0,GSI,False,SOURCE,HIGH,25.598_93.848,,False,,OBJECTID=8606,1713.9777,42.879547,230.31833,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,95.551252,28.258144,LandslideGuard_Project_Master,,,,28.258144,95.551252,28.258144,95.551252,True,28.258,95.551,,IND-INV-023316,INVENTORY,,,unknown,Arunachal Pradesh,Lower Dibang Valley,Sisseri bridge slide,,Rainfall,Debris,Slide,Active,625.0,NIL,Geological Survey of India (GSI) inventory,AP/LDV/82P/11/2022/LS-86,,GSI:30230,1.0,GSI,False,SOURCE,HIGH,28.258_95.551,,False,,OBJECTID=30230,584.4858,36.00109,21.460894,11775,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,95.075806,26.041611,LandslideGuard_Project_Master,,,,26.041611,95.075806,26.041611,95.075806,True,26.042,95.076,,IND-INV-023713,INVENTORY,,,unknown,Nagaland,Noklak,,,Rainfall,Rock,Slide,Active,7500.0,,Geological Survey of India (GSI) inventory,NG/NOK/83N04/2017/53,,GSI:14846,1.0,GSI,False,SOURCE,HIGH,26.042_95.076,,False,,OBJECTID=14846,1487.5232,27.846806,39.34294,4276,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,95.858449,28.472858,LandslideGuard_Project_Master,,,,28.472858,95.858449,28.472858,95.858449,True,28.473,95.858,,IND-INV-023337,INVENTORY,,,unknown,Arunachal Pradesh,Dibang Valley,From Hunli 46.4 kms along NH-313 towards Anini,,Rainfall,Rock,Fall,Dormant,608.0,NIL,Geological Survey of India (GSI) inventory,AP/DV/82P15/2022/141,,GSI:30408,1.0,GSI,False,SOURCE,HIGH,28.473_95.858,,False,,OBJECTID=30408,813.9145,39.721733,184.79105,11790,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.068219,23.647593,LandslideGuard_Project_Master,,,,23.647593,93.068219,23.647593,93.068219,True,23.648,93.068,,IND-INV-028745,INVENTORY,,,unknown,Mizoram,Champhai,,,"Rainfall, Anthropogenic",Debris,Slide,Active,0.0,,Geological Survey of India (GSI) inventory,MZ/CHA/84E02/2017/0120,,GSI:17681,1.0,GSI,False,SOURCE,HIGH,23.648_93.068,,False,,OBJECTID=17681,860.578,30.942827,99.03782,4301,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,88.510611,27.162194,LandslideGuard_Project_Master,,,,27.162194,88.510611,27.162194,88.510611,True,27.162,88.511,,IND-INV-021667,INVENTORY,,,unknown,Sikkim,South Sikkim,,,Rainfall,Debris,Slide,Active,500.0,,Geological Survey of India (GSI) inventory,SKM/SS/78A12/2015/172,,GSI:9319,1.0,GSI,False,SOURCE,HIGH,27.162_88.511,,False,,OBJECTID=9319,1000.7913,27.250929,139.21965,3662,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.016722,25.199722,LandslideGuard_Project_Master,,,,25.199722,93.016722,25.199722,93.016722,True,25.2,93.017,,IND-INV-027671,INVENTORY,2016.0,,year,Assam,Dima Hasao,Haflong-Gunjung road section slide-10,2016.0,Heavy rainfall,Debris,Slide,Active,4000.0,,Geological Survey of India (GSI) inventory,ASM/DH/83G4/2016/39,,GSI:13675,1.0,GSI,False,SOURCE,HIGH,25.200_93.017,,False,,OBJECTID=13675,429.8377,17.46579,17.629272,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.750417,27.240556,LandslideGuard_Project_Master,,,,27.240556,93.750417,27.240556,93.750417,True,27.241,93.75,,IND-INV-026160,INVENTORY,,,unknown,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 6,,Rainfall and anthropogenic activity,Debris,Slide,Reactivated,4550.0,--,Geological Survey of India (GSI) inventory,AP/PAP/83E16/2021/55,,GSI:30754,1.0,GSI,False,SOURCE,HIGH,27.241_93.750,,False,,OBJECTID=30754,374.40695,31.569944,177.11487,11775,50,True
,,,,,,,,,,,,,,,,,,,,,,,,,96.33161,27.91647,LandslideGuard_Project_Master,,,,27.91647,96.33161,27.91647,96.33161,True,27.916,96.332,,IND-INV-023538,INVENTORY,,,unknown,Arunachal Pradesh,Lohit,,,Heavy rainfall,Rock,Slide,Suspended,0.0,,Geological Survey of India (GSI) inventory,AR/LOH/92A05/2014/49,,GSI:52,1.0,GSI,False,SOURCE,HIGH,27.916_96.332,,False,,OBJECTID=52,1198.6641,30.706194,238.36238,3637,10,True
