latitude_standardized,longitude_standardized,dataset_source,event_date,event_date_standardized,event_year,event_month,usable_event_date,usable_event_year,usable_event_month,temporal_data_type
24.808,93.117,India_Media_Catalog,9/6/2011 8:00,2011-09-06 08:00:00,,,2011-09-06 08:00:00,,,EXACT_DATE
25.5114,90.215,India_Media_Catalog,6/16/2015 6:15,2015-06-16 06:15:00,,,2015-06-16 06:15:00,,,EXACT_DATE
25.8877,94.7861,India_Media_Catalog,7/6/2010 0:00,2010-07-06 00:00:00,,,2010-07-06 00:00:00,,,EXACT_DATE
25.6623,94.1072,India_Media_Catalog,10/10/2010 6:00,2010-10-10 06:00:00,,,2010-10-10 06:00:00,,,EXACT_DATE
24.7339,93.9161,India_Media_Catalog,3/27/2010 20:00,2010-03-27 20:00:00,,,2010-03-27 20:00:00,,,EXACT_DATE
26.1978,91.7665,India_Media_Catalog,4/20/2010 0:00,2010-04-20 00:00:00,,,2010-04-20 00:00:00,,,EXACT_DATE
24.819,94.3551,India_Media_Catalog,7/31/2015 9:00,2015-07-31 09:00:00,,,2015-07-31 09:00:00,,,EXACT_DATE
25.463,92.2121,India_Media_Catalog,6/13/2015 0:00,2015-06-13 00:00:00,,,2015-06-13 00:00:00,,,EXACT_DATE
24.9111,94.4759,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,,,2015-08-01 00:00:00,,,EXACT_DATE
27.8458,95.2253,India_Media_Catalog,9/19/2012 0:00,2012-09-19 00:00:00,,,2012-09-19 00:00:00,,,EXACT_DATE
23.8986,91.7599,India_Media_Catalog,6/3/2010 0:00,2010-06-03 00:00:00,,,2010-06-03 00:00:00,,,EXACT_DATE
25.5265,93.8673,India_Media_Catalog,10/9/2010 0:00,2010-10-09 00:00:00,,,2010-10-09 00:00:00,,,EXACT_DATE
26.1062,91.8717,India_Media_Catalog,7/25/2015 9:00,2015-07-25 09:00:00,,,2015-07-25 09:00:00,,,EXACT_DATE
25.4788,94.1399,India_Media_Catalog,10/9/2010 0:00,2010-10-09 00:00:00,,,2010-10-09 00:00:00,,,EXACT_DATE
25.5006,90.0896,India_Media_Catalog,10/20/2014 0:00,2014-10-20 00:00:00,,,2014-10-20 00:00:00,,,EXACT_DATE
26.1662,91.7138,India_Media_Catalog,5/11/2013 9:00,2013-05-11 09:00:00,,,2013-05-11 09:00:00,,,EXACT_DATE
25.8376,94.5234,India_Media_Catalog,8/4/2013 0:00,2013-08-04 00:00:00,,,2013-08-04 00:00:00,,,EXACT_DATE
26.0481,94.4619,India_Media_Catalog,8/4/2013 0:00,2013-08-04 00:00:00,,,2013-08-04 00:00:00,,,EXACT_DATE
26.1324,91.8342,India_Media_Catalog,9/22/2014 0:00,2014-09-22 00:00:00,,,2014-09-22 00:00:00,,,EXACT_DATE
27.1748,88.6458,India_Media_Catalog,6/7/2012 4:30,2012-06-07 04:30:00,,,2012-06-07 04:30:00,,,EXACT_DATE
26.0214,94.5224,India_Media_Catalog,8/19/2015 0:00,2015-08-19 00:00:00,,,2015-08-19 00:00:00,,,EXACT_DATE
24.7459,93.4251,India_Media_Catalog,8/11/2015 0:00,2015-08-11 00:00:00,,,2015-08-11 00:00:00,,,EXACT_DATE
25.2568,92.3825,India_Media_Catalog,8/19/2015 0:00,2015-08-19 00:00:00,,,2015-08-19 00:00:00,,,EXACT_DATE
27.8835,96.9262,India_Media_Catalog,8/16/2015 0:00,2015-08-16 00:00:00,,,2015-08-16 00:00:00,,,EXACT_DATE
26.1295,91.7056,India_Media_Catalog,9/22/2014 0:00,2014-09-22 00:00:00,,,2014-09-22 00:00:00,,,EXACT_DATE
25.5718,94.1211,India_Media_Catalog,8/21/2010 18:00,2010-08-21 18:00:00,,,2010-08-21 18:00:00,,,EXACT_DATE
26.1807,94.5497,India_Media_Catalog,8/4/2013 0:00,2013-08-04 00:00:00,,,2013-08-04 00:00:00,,,EXACT_DATE
27.5509,88.6475,India_Media_Catalog,7/21/2010 8:00,2010-07-21 08:00:00,,,2010-07-21 08:00:00,,,EXACT_DATE
25.6633,94.4703,India_Media_Catalog,10/8/2010 0:00,2010-10-08 00:00:00,,,2010-10-08 00:00:00,,,EXACT_DATE
26.159,91.8178,India_Media_Catalog,9/22/2014 0:00,2014-09-22 00:00:00,,,2014-09-22 00:00:00,,,EXACT_DATE
26.3333,91.25,India_Media_Catalog,10/29/2008 0:00,2008-10-29 00:00:00,,,2008-10-29 00:00:00,,,EXACT_DATE
26.72,95.029,India_Media_Catalog,7/1/2013 0:00,2013-07-01 00:00:00,,,2013-07-01 00:00:00,,,EXACT_DATE
25.4192,94.108,India_Media_Catalog,7/29/2011 0:00,2011-07-29 00:00:00,,,2011-07-29 00:00:00,,,EXACT_DATE
27.3736,88.7323,India_Media_Catalog,9/7/2013 15:00,2013-09-07 15:00:00,,,2013-09-07 15:00:00,,,EXACT_DATE
25.1718,93.123,India_Media_Catalog,8/27/2009 0:00,2009-08-27 00:00:00,,,2009-08-27 00:00:00,,,EXACT_DATE
25.426,94.6024,India_Media_Catalog,10/13/2013 19:30,2013-10-13 19:30:00,,,2013-10-13 19:30:00,,,EXACT_DATE
26.0093,94.5238,India_Media_Catalog,7/6/2010 0:00,2010-07-06 00:00:00,,,2010-07-06 00:00:00,,,EXACT_DATE
27.1614,93.7525,India_Media_Catalog,9/2/2013 0:00,2013-09-02 00:00:00,,,2013-09-02 00:00:00,,,EXACT_DATE
26.1868,91.6739,India_Media_Catalog,9/1/2015 0:00,2015-09-01 00:00:00,,,2015-09-01 00:00:00,,,EXACT_DATE
25.51614662,94.2341227,India_Media_Catalog,6/21/2011 0:00,2011-06-21 00:00:00,,,2011-06-21 00:00:00,,,EXACT_DATE
27.7565,88.632,India_Media_Catalog,6/7/2012 0:00,2012-06-07 00:00:00,,,2012-06-07 00:00:00,,,EXACT_DATE
26.5836,93.0038,India_Media_Catalog,7/24/2011 12:30,2011-07-24 12:30:00,,,2011-07-24 12:30:00,,,EXACT_DATE
25.1333,93.9667,India_Media_Catalog,8/31/2007 0:00,2007-08-31 00:00:00,,,2007-08-31 00:00:00,,,EXACT_DATE
25.5576,91.8506,India_Media_Catalog,8/26/2007 0:00,2007-08-26 00:00:00,,,2007-08-26 00:00:00,,,EXACT_DATE
25.0634,94.3415,India_Media_Catalog,7/31/2015 23:00,2015-07-31 23:00:00,,,2015-07-31 23:00:00,,,EXACT_DATE
24.837,93.9128,India_Media_Catalog,10/8/2010 0:00,2010-10-08 00:00:00,,,2010-10-08 00:00:00,,,EXACT_DATE
27.1954,88.6115,India_Media_Catalog,9/17/2009 0:00,2009-09-17 00:00:00,,,2009-09-17 00:00:00,,,EXACT_DATE
27.1032,93.6884,India_Media_Catalog,7/19/2011 0:00,2011-07-19 00:00:00,,,2011-07-19 00:00:00,,,EXACT_DATE
25.4916,91.2698,India_Media_Catalog,6/28/2010 0:00,2010-06-28 00:00:00,,,2010-06-28 00:00:00,,,EXACT_DATE
