dataset_source_dataset1,event_date_dataset1,event_title,location_description,landslide_trigger,latitude_standardized_dataset1,longitude_standardized_dataset1,date_compare,latitude_compare,longitude_compare,dataset_source_dataset2,event_date_dataset2,state,district,location_name,triggering_factor,latitude_standardized_dataset2,longitude_standardized_dataset2
India_Media_Catalog,7/10/2016 8:30,"Ahmednagar-Thane Road , Malshej Ghat, Maharashtra, India","Ahmednagar-Thane Road , Malshej Ghat, Maharashtra, India",unknown,19.34,73.7746,2016-07-10,19.34,73.775,LandslideGuard_Project_Master,2016-07-10,Maharashtra,,"Ahmednagar-Thane Road , Malshej Ghat, Maharashtra, India",unknown,19.34,73.7746
India_Media_Catalog,3/26/2016 0:00,Jammu-Srinagar national highway,Jammu-Srinagar national highway,continuous_rain,33.04965334,75.29048614,2016-03-26,33.05,75.29,LandslideGuard_Project_Master,2016-03-26,Kashmir,,Jammu-Srinagar national highway,continuous_rain,33.04965334,75.29048614
India_Media_Catalog,10/15/2016 0:00,Namchi,Namchi,rain,27.1695,88.3664,2016-10-15,27.17,88.366,LandslideGuard_Project_Master,2016-10-15,Sikkim,,Namchi,rain,27.1695,88.3664
India_Media_Catalog,7/28/2016 23:00,"Ngur, near Mizoram-Myanmar border, India","Ngur, near Mizoram-Myanmar border, India",continuous_rain,23.5397,93.3783,2016-07-28,23.54,93.378,LandslideGuard_Project_Master,2016-07-28,Mizoram,,"Ngur, near Mizoram-Myanmar border, India",continuous_rain,23.5397,93.3783
India_Media_Catalog,10/17/2016 7:00,Ferozeguda,Ferozeguda,construction,17.4655,78.4606,2016-10-17,17.466,78.461,LandslideGuard_Project_Master,2016-10-17,Telangana,,Ferozeguda,construction,17.4655,78.4606
India_Media_Catalog,7/26/2016 23:00,"Zunheboto, Nagaland, India","Zunheboto, Nagaland, India",downpour,26.0101,94.5282,2016-07-26,26.01,94.528,LandslideGuard_Project_Master,2016-07-26,Nagaland,,"Zunheboto, Nagaland, India",downpour,26.0101,94.5282
India_Media_Catalog,7/16/2016 0:00,"Mathyali village, Jakhnidhar, Uttarakhand, India","Mathyali village, Jakhnidhar, Uttarakhand, India",rain,30.3351,78.5113,2016-07-16,30.335,78.511,LandslideGuard_Project_Master,2016-07-16,Uttarakhand,,"Mathyali village, Jakhnidhar, Uttarakhand, India",rain,30.3351,78.5113
India_Media_Catalog,7/28/2016 0:00,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India","Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",monsoon,27.5748,91.8644,2016-07-28,27.575,91.864,LandslideGuard_Project_Master,2016-07-28,Arunachal Pradesh,,"Dolma Lhakang complex, Lumla, Tawang, Arunachal Pradesh, India",monsoon,27.5748,91.8644
India_Media_Catalog,8/7/2016 3:00,Kheri near Udhampur,Kheri near Udhampur,continuous_rain,32.9041,75.0911,2016-08-07,32.904,75.091,LandslideGuard_Project_Master,2016-08-07,Kashmir,,Kheri near Udhampur,continuous_rain,32.9041,75.0911
India_Media_Catalog,7/26/2016 23:00,"Jwagdhar village, Sangrah, Sirmaur district, Himachal Pradesh, India","Jwagdhar village, Sangrah, Sirmaur district, Himachal Pradesh, India",downpour,30.6935,77.4266,2016-07-26,30.694,77.427,LandslideGuard_Project_Master,2016-07-26,Himachal Pradesh,,"Jwagdhar village, Sangrah, Sirmaur district, Himachal Pradesh, India",downpour,30.6935,77.4266
India_Media_Catalog,10/12/2016 0:00,between Siliguri and Sevak,between Siliguri and Sevak,downpour,26.8692,88.4695,2016-10-12,26.869,88.47,LandslideGuard_Project_Master,2016-10-12,West Bengal,,between Siliguri and Sevak,downpour,26.8692,88.4695
India_Media_Catalog,7/3/2016 22:00,"Malshej ghat, Maharashtra, India","Malshej ghat, Maharashtra, India",monsoon,19.336,73.7793,2016-07-03,19.336,73.779,LandslideGuard_Project_Master,2016-07-03,Maharashtra,,"Malshej ghat, Maharashtra, India",monsoon,19.336,73.7793
India_Media_Catalog,8/7/2016 0:00,"Seri, Ramban","Seri, Ramban",downpour,33.2483,75.2131,2016-08-07,33.248,75.213,LandslideGuard_Project_Master,2016-08-07,Kashmir,,"Seri, Ramban",downpour,33.2483,75.2131
India_Media_Catalog,7/21/2016 9:00,"NH 10 between Coronation Bridge and Sevoke Kalibari, West Bengal, India","NH 10 between Coronation Bridge and Sevoke Kalibari, West Bengal, India",rain,26.9015,88.4719,2016-07-21,26.902,88.472,LandslideGuard_Project_Master,2016-07-21,West Bengal,,"NH 10 between Coronation Bridge and Sevoke Kalibari, West Bengal, India",rain,26.9015,88.4719
India_Media_Catalog,6/26/2016 0:00,"Goddess Nijabankeswari Temple, Digapahandi, Ganjam district, Odisha, India","Goddess Nijabankeswari Temple, Digapahandi, Ganjam district, Odisha, India",downpour,19.3805,84.5699,2016-06-26,19.38,84.57,LandslideGuard_Project_Master,2016-06-26,Odisha,,"Goddess Nijabankeswari Temple, Digapahandi, Ganjam district, Odisha, India",downpour,19.3805,84.5699
India_Media_Catalog,7/7/2016 0:00,"Blue Metal Quarry, Kondayanpatti, Madurai District, India","Blue Metal Quarry, Kondayanpatti, Madurai District, India",mining,10.0545,78.0298,2016-07-07,10.054,78.03,LandslideGuard_Project_Master,2016-07-07,Tamil Nadu,,"Blue Metal Quarry, Kondayanpatti, Madurai District, India",mining,10.0545,78.0298
India_Media_Catalog,6/15/2016 9:00,"Vazhavara, Idukki, Kerala, India","Vazhavara, Idukki, Kerala, India",downpour,9.7967,77.0611,2016-06-15,9.797,77.061,LandslideGuard_Project_Master,2016-06-15,Kerala,,"Vazhavara, Idukki, Kerala, India",downpour,9.7967,77.0611
India_Media_Catalog,7/16/2016 0:00,"Hoj-Potin Highway, Arunachal Pradesh, India","Hoj-Potin Highway, Arunachal Pradesh, India",downpour,27.3034,93.804,2016-07-16,27.303,93.804,LandslideGuard_Project_Master,2016-07-16,Arunachal Pradesh,,"Hoj-Potin Highway, Arunachal Pradesh, India",downpour,27.3034,93.804
India_Media_Catalog,8/5/2016 23:00,Bangapani area of Pithoragarh,Bangapani area of Pithoragarh,downpour,29.5866,80.2154,2016-08-05,29.587,80.215,LandslideGuard_Project_Master,2016-08-05,Uttarakhand,,Bangapani area of Pithoragarh,downpour,29.5866,80.2154
India_Media_Catalog,5/18/2016 8:00,"Ramchandi , Hailakandi District, Assam, India","Ramchandi , Hailakandi District, Assam, India",continuous_rain,24.5308,92.5121,2016-05-18,24.531,92.512,LandslideGuard_Project_Master,2016-05-18,Assam,,"Ramchandi , Hailakandi District, Assam, India",continuous_rain,24.5308,92.5121
India_Media_Catalog,10/12/2016 0:00,Legship,Legship,continuous_rain,27.2676,88.2891,2016-10-12,27.268,88.289,LandslideGuard_Project_Master,2016-10-12,Sikkim,,Legship,continuous_rain,27.2676,88.2891
India_Media_Catalog,7/20/2016 0:00,"Noonmati, Guwahati, Assam, India","Noonmati, Guwahati, Assam, India",rain,26.1966,91.802,2016-07-20,26.197,91.802,LandslideGuard_Project_Master,2016-07-20,Assam,,"Noonmati, Guwahati, Assam, India",rain,26.1966,91.802
India_Media_Catalog,7/2/2016 9:00,"Highway 22, near Borag Bypass, near Solan, Himachal Pradesh, India","Highway 22, near Borag Bypass, near Solan, Himachal Pradesh, India",downpour,30.89221723,77.09003076,2016-07-02,30.892,77.09,LandslideGuard_Project_Master,2016-07-02,Himachal Pradesh,,"Highway 22, near Borag Bypass, near Solan, Himachal Pradesh, India",downpour,30.89221723,77.09003076
India_Media_Catalog,7/19/2016 0:00,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India","5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",downpour,28.235,94.9612,2016-07-19,28.235,94.961,LandslideGuard_Project_Master,2016-07-19,Arunachal Pradesh,,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",downpour,28.235,94.9612
India_Media_Catalog,6/29/2016 0:00,"Nandprayag, Uttarakhand, India","Nandprayag, Uttarakhand, India",downpour,30.3299,79.3206,2016-06-29,30.33,79.321,LandslideGuard_Project_Master,2016-06-29,Uttarakhand,,"Nandprayag, Uttarakhand, India",downpour,30.3299,79.3206
