event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source
289,25.4196,94.1054,2010-07-29,1382.1925048828125,11.335694313049316,190.244384765625,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
1,25.3098633,94.48214677,2010-07-29,1536.7576904296875,33.85165023803711,165.1502685546875,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
188,24.9356,93.8443,2010-07-31,851.4636840820312,0.9459604024887084,229.7209625244141,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
269,23.7365,92.7146,2010-08-06,1028.4278564453125,39.21456909179688,261.27880859375,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
178,25.70223725,94.04619681,2010-08-13,1007.92724609375,10.117583274841309,80.53630065917969,4276.0,40.0,,,,,,1,landslide_event,event_date_standardized
109,26.222,94.9152,2010-08-14,1778.078369140625,29.12509536743164,313.4775695800781,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
79,26.0814,94.803,2010-08-14,947.626220703125,37.372291564941406,32.140419006347656,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
272,26.148,94.8422,2010-08-14,1528.6558837890625,26.35123443603516,10.615458488464355,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
28,25.31006064,94.48265093,2010-08-15,1534.9505615234375,29.56004524230957,126.68748474121094,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
318,26.2753,94.6654,2010-08-17,1154.0389404296875,28.59084701538086,310.3680114746094,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
84,25.61560252,94.11603493,2010-08-19,1607.4580078125,32.041446685791016,111.2265167236328,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
80,24.8961,93.4957,2010-08-19,1017.2667846679688,16.193531036376953,125.95889282226562,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
77,26.1984,94.8158,2010-08-19,1878.4278564453125,22.23193359375,326.9003601074219,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
137,25.5718,94.1211,2010-08-21,1618.675537109375,5.658908367156982,14.910490036010742,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
236,25.4786,94.1327,2010-08-27,1762.3734130859375,7.410953044891357,343.1671142578125,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
57,24.7505,93.4221,2010-08-27,793.0284423828125,6.406473159790039,252.3161773681641,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
249,27.3392,88.6188,2010-08-27,1888.8125,25.99549102783203,134.21571350097656,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
48,27.3702,88.7334,2010-09-04,3523.580078125,3.187097549438477,286.8574523925781,3717.0,30.0,,,,,,1,landslide_event,event_date_standardized
244,28.3036,95.4112,2010-09-09,1800.0015869140625,48.01810836791992,112.00715637207033,11864.0,10.0,,,,,,1,landslide_event,event_date_standardized
74,27.0011,93.7273,2010-09-10,109.28465270996094,3.8665931224823,325.0473327636719,3683.0,40.0,,,,,,1,landslide_event,event_date_standardized
312,25.63961883,94.11112157,2010-09-12,1493.7166748046875,24.355453491210938,92.02509307861328,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
208,22.7176,92.8416,2010-09-13,729.5139770507812,31.68890953063965,90.78144073486328,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
23,23.591,92.9296,2010-09-13,789.679931640625,8.309388160705566,274.537841796875,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
277,23.72988966,92.71495623,2010-09-13,990.5125732421876,27.76064109802246,292.2981872558594,3665.0,10.0,,,,,,1,landslide_event,event_date_standardized
251,23.3439,93.0748,2010-09-13,1315.960693359375,32.6228141784668,98.87903594970705,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
78,23.75406693,92.74128531,2010-09-13,978.6586303710938,30.205677032470703,80.6833267211914,3665.0,50.0,,,,,,1,landslide_event,event_date_standardized
106,23.74182634,92.7141905,2010-09-13,943.8895263671876,19.73172187805176,300.9390563964844,3665.0,50.0,,,,,,1,landslide_event,event_date_standardized
247,23.73504471,92.71060943,2010-09-13,930.1307373046876,23.34025955200196,77.4193344116211,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
169,24.3069,93.125,2010-09-16,762.8575439453125,17.920854568481445,34.35021209716797,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
183,23.7527,92.694,2010-09-16,796.3433227539062,34.4484748840332,53.18932723999024,3665.0,10.0,,,,,,1,landslide_event,event_date_standardized
300,28.3092,95.4149,2010-10-03,1865.764892578125,50.18288040161133,248.6693115234375,11909.0,10.0,,,,,,1,landslide_event,event_date_standardized
255,24.7679,93.4108,2010-10-08,516.0626220703125,25.266372680664062,256.58599853515625,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
246,25.2745,94.0212,2010-10-08,1075.6785888671875,17.817461013793945,153.39553833007812,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
157,24.837,93.9128,2010-10-08,799.0735473632812,14.031889915466309,156.2122344970703,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
8,25.4769,94.1351,2010-10-08,1656.855224609375,16.573923110961914,105.01715850830078,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
140,25.6633,94.4703,2010-10-08,1452.3546142578125,8.285400390625,288.7970275878906,4276.0,60.0,,,,,,1,landslide_event,event_date_standardized
11,25.3179,94.0462,2010-10-09,1009.9530029296876,24.41946601867676,273.8585510253906,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
123,25.5265,93.8673,2010-10-09,1390.6053466796875,25.933570861816406,306.7274475097656,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
125,25.4788,94.1399,2010-10-09,1639.7330322265625,16.08685874938965,182.191650390625,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
297,25.1796,93.0083,2010-10-09,688.9466552734375,3.927459955215454,110.28069305419922,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
257,25.682,94.1076,2010-10-09,1441.904052734375,11.241731643676758,288.869384765625,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
316,25.4749,93.1477,2010-10-09,152.47006225585938,6.1949968338012695,356.0416564941406,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
42,25.5242,92.9914,2010-10-09,155.11376953125,8.515926361083984,40.887237548828125,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
115,25.6623,94.1072,2010-10-10,1382.5048828125,14.634651184082031,93.38544464111328,7001.0,10.0,,,,,,1,landslide_event,event_date_standardized
225,27.5798729,91.85672387,2010-11-22,2766.8056640625,22.40599822998047,243.9518280029297,11879.0,10.0,,,,,,1,landslide_event,event_date_standardized
51,28.0791,96.5242,2011-03-22,531.3464965820312,26.206382751464844,171.81964111328125,4351.0,50.0,,,,,,1,landslide_event,event_date_standardized
61,25.0672,93.4093,2011-05-22,454.5387268066406,28.77771759033203,194.9974822998047,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
248,25.0888,92.8551,2011-05-24,275.6462097167969,30.58514976501465,6.18858814239502,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
245,25.1555,93.8474,2011-05-31,1345.8138427734375,30.899389266967773,187.8236389160156,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
31,24.8286,93.5935,2011-05-31,719.3284912109375,33.02092742919922,192.40737915039065,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
265,26.3186,94.5121,2011-06-20,1253.3843994140625,11.05461311340332,127.83020782470705,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
151,25.51614662,94.2341227,2011-06-21,1648.3985595703125,23.469751358032227,266.4374389648437,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
40,25.6682,94.1099,2011-06-28,1434.0286865234375,17.302640914916992,67.99267578125,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
89,25.03561729,94.0144205,2011-06-28,856.09619140625,34.25163650512695,136.2344970703125,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
26,25.5125,93.3613,2011-06-29,308.4480895996094,6.186566352844238,181.83233642578125,4255.0,10.0,,,,,,1,landslide_event,event_date_standardized
237,25.8782,94.1739,2011-07-01,1350.1361083984375,22.48882484436035,38.70321273803711,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
207,24.8063,93.9482,2011-07-06,781.77392578125,1.3385379314422607,70.32735443115234,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
45,25.4191,94.1079,2011-07-07,1392.1922607421875,14.490296363830566,7.227597713470459,4276.0,40.0,,,,,,1,landslide_event,event_date_standardized
263,25.6703,94.1095,2011-07-11,1436.1641845703125,24.053451538085938,95.30050659179688,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
232,27.125,93.7145,2011-07-15,132.5273895263672,0.3987009823322296,103.08811950683594,11775.0,60.0,,,,,,1,landslide_event,event_date_standardized
165,27.2743,92.9064,2011-07-16,644.3753051757812,18.432647705078125,270.1038513183594,11775.0,10.0,,,,,,1,landslide_event,event_date_standardized
159,27.1032,93.6884,2011-07-19,150.3795928955078,1.9931442737579343,32.07267761230469,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
293,24.7992,93.948,2011-07-22,782.2091674804688,1.4935643672943115,346.2854309082031,7001.0,60.0,,,,,,1,landslide_event,event_date_standardized
49,24.3527,94.3429,2011-07-22,277.8223876953125,26.78093147277832,96.16568756103516,3689.0,10.0,,,,,,1,landslide_event,event_date_standardized
153,26.5836,93.0038,2011-07-24,67.93389892578125,2.0677976608276367,39.95708084106445,3637.0,40.0,,,,,,1,landslide_event,event_date_standardized
43,24.6869,93.9157,2011-07-25,771.6426391601562,0.2212255597114563,345.017333984375,4331.0,40.0,,,,,,1,landslide_event,event_date_standardized
144,25.4192,94.108,2011-07-29,1384.0423583984375,14.964365005493164,41.47489929199219,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
98,27.1034,93.6885,2011-08-05,149.83685302734375,3.523525714874268,54.13344955444336,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
217,27.44,92.2833,2011-08-12,2629.98583984375,5.943219661712647,54.262969970703125,11864.0,10.0,,,,,,1,landslide_event,event_date_standardized
204,25.7713,93.8067,2011-08-13,237.25320434570312,6.35941743850708,39.83789443969727,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
99,27.4888,93.0153,2011-08-15,573.1685180664062,33.45001983642578,322.15582275390625,11775.0,10.0,,,,,,1,landslide_event,event_date_standardized
273,25.5144,90.2167,2011-08-16,309.9352111816406,6.40664529800415,256.3793029785156,3814.0,10.0,,,,,,1,landslide_event,event_date_standardized
290,25.83,94.13,2011-08-18,1017.9199829101562,8.591971397399902,12.90983772277832,4276.0,40.0,,,,,,1,landslide_event,event_date_standardized
280,27.7344,88.633,2011-08-25,3494.92578125,27.95033836364746,123.51553344726562,3717.0,10.0,,,,,,1,landslide_event,event_date_standardized
112,24.808,93.117,2011-09-06,38.38522338867188,5.054456233978272,326.4285583496094,3701.0,50.0,,,,,,1,landslide_event,event_date_standardized
36,26.1548,91.7351,2011-09-23,53.39770126342773,1.52072274684906,303.621826171875,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
27,27.5161,88.5575,2011-09-30,1358.0126953125,26.525320053100582,328.2363586425781,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
196,25.1604,93.6795,2012-03-04,1100.0721435546875,22.64996719360352,301.0080871582031,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
56,28.4659,95.86,2012-04-08,1061.6243896484375,32.83844375610352,40.92158508300781,11790.0,10.0,,,,,,1,landslide_event,event_date_standardized
241,28.8254,96.1517,2012-06-02,3579.512939453125,23.55665779113769,91.92863464355467,11727.0,10.0,,,,,,1,landslide_event,event_date_standardized
64,26.1475,91.7356,2012-06-02,50.44081878662109,0.93340265750885,174.85855102539062,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
286,25.1775,93.0123,2012-06-03,668.3739013671875,19.087387084960938,331.8041076660156,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
287,25.3056,93.1265,2012-06-03,310.4130249023437,22.16777229309082,235.5619354248047,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
21,25.1175,92.8573,2012-06-03,146.62811279296875,6.229365348815918,215.52430725097656,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
200,27.7167,88.5577,2012-06-03,2668.882568359375,18.030498504638672,73.16909790039062,3717.0,30.0,,,,,,1,landslide_event,event_date_standardized
131,27.1748,88.6458,2012-06-07,938.9389038085938,15.19566535949707,244.69113159179688,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
152,27.7565,88.632,2012-06-07,3889.316650390625,18.53253555297852,48.37858581542969,3717.0,10.0,,,,,,1,landslide_event,event_date_standardized
176,24.8142,93.5444,2012-06-10,517.7041015625,32.23862075805664,134.4281768798828,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
175,25.5498,92.0757,2012-06-13,1276.3973388671875,19.963342666625977,337.19140625,3646.0,10.0,,,,,,1,landslide_event,event_date_standardized
164,25.0951,92.3567,2012-06-13,247.15359497070312,26.163562774658203,253.6774444580078,3708.0,10.0,,,,,,1,landslide_event,event_date_standardized
281,27.339,88.6065,2012-06-14,1502.8668212890625,21.81838035583496,305.63134765625,3662.0,50.0,,,,,,1,landslide_event,event_date_standardized
60,26.149,91.7351,2012-06-20,52.556583404541016,2.540988206863404,343.1995544433594,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
214,26.1226,91.7162,2012-06-22,72.29875946044922,10.562407493591309,160.86668395996094,3814.0,50.0,,,,,,1,landslide_event,event_date_standardized
240,26.1049,91.7369,2012-06-25,157.38409423828125,16.41172218322754,153.22520446777344,3814.0,10.0,,,,,,1,landslide_event,event_date_standardized
203,26.9986,95.4993,2012-06-25,650.1611938476562,25.07476043701172,20.209487915039062,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
55,27.174,95.8011,2012-06-25,294.5935974121094,0.492451548576355,155.0437469482422,4276.0,40.0,,,,,,1,landslide_event,event_date_standardized
267,28.9986,94.8885,2012-07-05,606.9176635742188,25.54982185363769,17.10862922668457,11790.0,10.0,,,,,,1,landslide_event,event_date_standardized
2,27.8385,88.556,2012-09-19,3810.72802734375,17.237892150878906,202.5615692138672,3717.0,10.0,,,,,,1,landslide_event,event_date_standardized
121,27.8458,95.2253,2012-09-19,133.93359375,0.1892804205417633,222.51046752929688,3650.0,40.0,,,,,,1,landslide_event,event_date_standardized
3,27.6558,88.605,2012-09-19,1947.65869140625,9.8460693359375,248.90582275390625,3717.0,30.0,,,,,,1,landslide_event,event_date_standardized
270,23.7705,92.5217,2012-11-11,78.01522064208984,9.64112663269043,297.8417358398437,3665.0,10.0,,,,,,1,landslide_event,event_date_standardized
101,28.1193,95.1645,2013-02-18,782.773681640625,35.69247817993164,220.4382781982422,11790.0,10.0,,,,,,1,landslide_event,event_date_standardized
233,28.8254,96.1509,2013-04-07,3613.6435546875,25.2900390625,80.45932006835938,11727.0,10.0,,,,,,1,landslide_event,event_date_standardized
227,24.2315,92.6755,2013-05-07,668.9224243164062,11.877516746520996,142.18495178222656,3665.0,50.0,,,,,,1,landslide_event,event_date_standardized
315,24.0896,91.4663,2013-05-08,115.96711730957033,8.775213241577148,359.3273620605469,3665.0,10.0,,,,,,1,landslide_event,event_date_standardized
127,26.1662,91.7138,2013-05-11,138.12319946289062,23.48808860778809,89.54366302490234,3650.0,50.0,,,,,,1,landslide_event,event_date_standardized
202,26.1771,91.7599,2013-05-11,82.56718444824219,13.991209983825684,196.78944396972656,7001.0,50.0,,,,,,1,landslide_event,event_date_standardized
