event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source,nearest_grid_distance_km,nearest_grid_latitude,nearest_grid_longitude,grid_distance_valid,rainfall_temporal_coverage,all_rainfall_features_available
114,25.8877,94.7861,2010-07-06,1171.9498291015625,6.588235855102539,272.0567932128906,4276.0,50.0,18.506322860717773,32.04225826263428,83.3467630147934,162.2573435306549,337.9369192123413,1,landslide_event,event_date_standardized,13.009988151726423,26.0,94.75,True,FULL,True
305,26.7225,95.0281,2010-07-06,705.9417724609375,11.936344146728516,315.3321838378906,4276.0,10.0,33.48929214477539,108.63214111328125,153.73481917381287,292.67084670066833,626.0549881458282,1,landslide_event,event_date_standardized,4.151556101263387,26.75,95.0,True,FULL,True
148,26.0093,94.5238,2010-07-06,1806.620361328125,18.33163070678711,128.7078399658203,4276.0,50.0,19.622175216674805,31.43616509437561,81.99560499191284,158.84711396694183,330.4751490354538,1,landslide_event,event_date_standardized,2.5909590419976176,26.0,94.5,True,FULL,True
268,26.7215,95.0283,2010-07-19,727.4697265625,17.821475982666016,8.26441478729248,4276.0,50.0,43.551300048828125,94.09831047058105,165.93157386779785,286.0481045246124,583.5468263626099,1,landslide_event,event_date_standardized,4.247554293479214,26.75,95.0,True,FULL,True
46,26.8716,94.9921,2010-07-20,278.34490966796875,16.843189239501953,164.58840942382812,3637.0,10.0,16.527761459350586,88.61874580383301,148.33645629882812,283.46459889411926,577.3350915908813,1,landslide_event,event_date_standardized,13.559450908409461,26.75,95.0,True,FULL,True
139,27.5509,88.6475,2010-07-21,1410.63623046875,49.52345657348633,212.1207275390625,3662.0,10.0,54.78919219970703,100.81463623046875,204.70117855072021,391.54718923568726,710.663156747818,1,landslide_event,event_date_standardized,11.693554559509277,27.5,88.75,True,FULL,True
103,27.3773,88.559,2010-07-21,1473.3265380859375,32.3568000793457,254.3673095703125,3662.0,10.0,32.674198150634766,71.37654113769531,133.50000667572021,266.7599277496338,501.24577474594116,1,landslide_event,event_date_standardized,14.87397623289739,27.5,88.5,True,FULL,True
177,25.0477,92.801,2010-07-25,169.20570373535156,25.28746223449707,91.56967163085938,3701.0,10.0,0.0,47.1279354095459,68.72676426172256,138.62138491868973,331.70755821466446,1,landslide_event,event_date_standardized,7.355237544741806,25.0,92.75,True,FULL,True
212,24.9786,93.5027,2010-07-29,1312.0723876953125,15.88975715637207,277.99920654296875,4301.0,10.0,31.371232986450195,67.53527688980103,84.47733008861542,183.38113129138947,295.45713816583157,1,landslide_event,event_date_standardized,2.3974377748285276,25.0,93.5,True,FULL,True
289,25.4196,94.1054,2010-07-29,1382.1925048828125,11.335694313049316,190.244384765625,4276.0,50.0,28.94656753540039,81.72849655151367,109.67711758613586,245.31355023384094,371.5266084074974,1,landslide_event,event_date_standardized,13.810966885020132,25.5,94.0,True,FULL,True
1,25.3098633,94.48214677,2010-07-29,1536.7576904296875,33.85165023803711,165.1502685546875,4276.0,30.0,27.368268966674805,100.36786985397339,130.9985806643963,254.81191131472588,389.7174042761326,1,landslide_event,event_date_standardized,6.898045209738157,25.25,94.5,True,FULL,True
188,24.9356,93.8443,2010-07-31,851.4636840820312,0.9459604024887084,229.7209625244141,4276.0,10.0,29.70224380493164,62.43260049819946,140.61913549900055,202.2441030740738,370.034099817276,1,landslide_event,event_date_standardized,11.830321086376273,25.0,93.75,True,FULL,True
269,23.7365,92.7146,2010-08-06,1028.4278564453125,39.21456909179688,261.27880859375,7001.0,50.0,40.94890213012695,56.952598094940186,124.14165353775024,294.6467547416687,451.1870174407959,1,landslide_event,event_date_standardized,3.8391277218722126,23.75,92.75,True,FULL,True
178,25.70223725,94.04619681,2010-08-13,1007.92724609375,10.117583274841309,80.53630065917969,4276.0,40.0,12.153491020202637,14.121664613485336,15.288082271814346,87.26657512784004,303.1204595863819,1,landslide_event,event_date_standardized,7.03734793579762,25.75,94.0,True,FULL,True
